sample,year,horizon_days,signal_count,tradeable_count,stock_count,mean_gross_return,median_gross_return,gross_up_rate,mean_net_return,mean_excess_return
全部沪深A股，日波动率不高于1.5%,2010,1,209,207,131,0.0019957247859736043,0.0,0.4927536231884058,0.0003934128978544538,-0.004480503001793642
全部沪深A股，日波动率不高于1.5%,2010,3,209,206,131,-0.0005985839554039107,-0.006907472707792628,0.4223300970873786,-0.0021967472312735808,-0.005645446024059583
全部沪深A股，日波动率不高于1.5%,2010,5,209,204,131,-0.002341071867439274,-0.00809748393492321,0.4117647058823529,-0.003936448695196149,-0.005097869324375187
全部沪深A股，日波动率不高于1.5%,2010,10,209,201,131,-0.006828230353646423,-0.009708712909793804,0.4427860696517413,-0.008416431674354245,0.00043243532713064755
全部沪深A股，日波动率不高于1.5%,2010,20,209,203,131,-0.03839788710417064,-0.03684326240144198,0.3891625615763547,-0.039935604740104255,0.005596773087303202
全部沪深A股，日波动率不高于1.5%,2011,1,652,650,389,0.0010276166180584938,0.0,0.4753846153846154,-0.0005731471484588628,0.0012884955059404288
全部沪深A股，日波动率不高于1.5%,2011,3,652,642,389,-0.004490918313749316,-0.004348203720524246,0.42990654205607476,-0.00608285727801701,-0.0007522969852333579
全部沪深A股，日波动率不高于1.5%,2011,5,652,639,389,-0.008954784417055429,-0.007733983194534888,0.42566510172143973,-0.010539585121600682,-0.002563616686833916
全部沪深A股，日波动率不高于1.5%,2011,10,652,640,389,-0.010387761701160151,-0.012393772106859546,0.40625,-0.011970270902377669,0.0012154304826079607
全部沪深A股，日波动率不高于1.5%,2011,20,652,633,389,-0.0193858083081434,-0.023653156942031406,0.4060031595576619,-0.0209539285487181,0.006144793294253867
全部沪深A股，日波动率不高于1.5%,2012,1,986,973,496,-0.0003130456210841415,0.0,0.4450154162384378,-0.0019116655071531176,-0.0008272969354196528
全部沪深A股，日波动率不高于1.5%,2012,3,986,966,496,-0.0025776893735080376,-0.0029785181970075625,0.4472049689440994,-0.004172687821364156,-0.0027183549255795523
全部沪深A股，日波动率不高于1.5%,2012,5,986,965,496,-0.0054186262898857415,-0.005270612675280506,0.43523316062176165,-0.00700908173732588,-0.006110304848275014
全部沪深A股，日波动率不高于1.5%,2012,10,986,961,496,-0.005919757821818816,-0.002279416873579798,0.48491155046826223,-0.007509411899561197,-0.01281164508983367
全部沪深A股，日波动率不高于1.5%,2012,20,986,959,496,0.00010477678727237708,-0.008987532293379563,0.46715328467153283,-0.001494511247168364,-0.01878931551745691
全部沪深A股，日波动率不高于1.5%,2013,1,1034,1031,535,0.0028712639839371585,0.0,0.4684772065955383,0.0012675520031522423,0.0028190746079594614
全部沪深A股，日波动率不高于1.5%,2013,3,1034,1026,535,0.0011899635122029637,-0.002279573599971496,0.46881091617933723,-0.0004110598665582924,0.0023313979024868242
全部沪深A股，日波动率不高于1.5%,2013,5,1034,1025,535,0.0003374623655647018,-0.0029810829256489146,0.4624390243902439,-0.001262197761150557,0.00210064507181172
全部沪深A股，日波动率不高于1.5%,2013,10,1034,1022,535,-0.0024135688030455338,-0.01161319055886667,0.42759295499021527,-0.004008829699467676,0.008222915623251097
全部沪深A股，日波动率不高于1.5%,2013,20,1034,1011,535,-0.02758659012257386,-0.0350231592779805,0.3333333333333333,-0.029141596324966462,0.013115753703081622
全部沪深A股，日波动率不高于1.5%,2014,1,2660,2651,1113,0.004423797906028567,0.001655621023563647,0.5190494153149755,0.002817603236447145,0.0019232891683413273
全部沪深A股，日波动率不高于1.5%,2014,3,2660,2639,1113,0.008397994914926191,0.003537230058876739,0.5517241379310345,0.006785445025501444,0.004151093182324994
全部沪深A股，日波动率不高于1.5%,2014,5,2660,2634,1113,0.012142948385230981,0.008088893904498184,0.595292331055429,0.01052440986400124,0.0057352687419449586
全部沪深A股，日波动率不高于1.5%,2014,10,2660,2607,1113,0.025866737369838595,0.017590641911884974,0.6743383199079401,0.024226252856529126,0.009757606813539089
全部沪深A股，日波动率不高于1.5%,2014,20,2660,2575,1113,0.05587972842970982,0.04214628502170048,0.7421359223300971,0.05419124952761839,0.018297125927681443
全部沪深A股，日波动率不高于1.5%,2015,1,278,278,175,0.011183271078018949,0.009947006682960335,0.6942446043165468,0.009566267196428953,0.006285937794279835
全部沪深A股，日波动率不高于1.5%,2015,3,278,277,175,0.03055624831579349,0.02454744725889113,0.7942238267148014,0.028908264709471655,0.01196539476126644
