loaded 10499323 rows 24.20384454727173

===== CSI300 (point-in-time members) =====
      factor  n_stocks_med   P2019   P2020   P2021   P2022   P2023   P2024  P_min19_24
       rev20           299  0.0176 -0.0222  0.0062  0.0368 -0.0026  0.0013     -0.0222
      mom_f1           299  0.0139  0.0734 -0.0095 -0.0270  0.0265 -0.0043     -0.0270
       vol20           299 -0.0166 -0.0419  0.0080  0.0073  0.0536  0.0512     -0.0419
      turn20           299 -0.0002 -0.0010  0.0149  0.0419  0.0399  0.0403     -0.0010
        size           299 -0.0128 -0.0240  0.0068 -0.0123 -0.0165 -0.0442     -0.0442
    amihud20           299 -0.0333 -0.0168  0.0077  0.0171  0.0143 -0.0130     -0.0333
    maxret20           299 -0.0129 -0.0350 -0.0016  0.0142  0.0401  0.0398     -0.0350
intra_over20           299  0.0108 -0.0054 -0.0030  0.0170 -0.0112  0.0130     -0.0112
    combo_z4           299 -0.0096 -0.0367  0.0163  0.0322  0.0369  0.0231     -0.0367
      factor   R2019   R2020   R2021   R2022   R2023   R2024  R_min19_24  R_mean19_24
       rev20  0.0369  0.0052  0.0131  0.0265  0.0022 -0.0022     -0.0022       0.0136
      mom_f1  0.0100  0.0658 -0.0095 -0.0133  0.0420  0.0018     -0.0133       0.0161
       vol20  0.0061 -0.0094  0.0438  0.0410  0.1044  0.0822     -0.0094       0.0447
      turn20  0.0031  0.0097  0.0415  0.0765  0.0981  0.0764      0.0031       0.0509
        size -0.0236 -0.0393 -0.0002 -0.0219 -0.0358 -0.0592     -0.0592      -0.0300
    amihud20 -0.0313 -0.0252  0.0136  0.0175  0.0023 -0.0277     -0.0313      -0.0085
    maxret20  0.0084 -0.0008  0.0333  0.0421  0.0828  0.0644     -0.0008       0.0384
intra_over20  0.0310  0.0131 -0.0010  0.0192 -0.0076  0.0047     -0.0076       0.0099
    combo_z4  0.0134 -0.0091  0.0445  0.0481  0.0618  0.0347     -0.0091       0.0322

===== CSI500 (point-in-time members) =====
      factor  n_stocks_med   P2019   P2020   P2021   P2022  P2023   P2024  P_min19_24
       rev20           498  0.0429 -0.0094 -0.0044  0.0213 0.0108  0.0240     -0.0094
      mom_f1           497  0.0104  0.0387 -0.0044 -0.0306 0.0083 -0.0048     -0.0306
       vol20           498  0.0104 -0.0139  0.0156  0.0180 0.0235  0.0548     -0.0139
      turn20           498  0.0230  0.0108  0.0237  0.0539 0.0224  0.0253      0.0108
        size           498 -0.0169 -0.0261  0.0149  0.0101 0.0076 -0.0243     -0.0261
    amihud20           498 -0.0060  0.0079  0.0140  0.0317 0.0149 -0.0171     -0.0171
    maxret20           498  0.0185 -0.0201  0.0072  0.0221 0.0172  0.0481     -0.0201
intra_over20           498  0.0289 -0.0043  0.0068  0.0117 0.0091  0.0208     -0.0043
    combo_z4           498  0.0225 -0.0163  0.0175  0.0350 0.0291  0.0255     -0.0163
      factor   R2019   R2020   R2021   R2022  R2023   R2024  R_min19_24  R_mean19_24
       rev20  0.0722  0.0183  0.0129  0.0269 0.0155  0.0106      0.0106       0.0261
      mom_f1  0.0116  0.0392 -0.0168 -0.0326 0.0208  0.0010     -0.0326       0.0039
       vol20  0.0390  0.0325  0.0671  0.0542 0.0735  0.0892      0.0325       0.0592
      turn20  0.0402  0.0375  0.0569  0.0759 0.0797  0.0596      0.0375       0.0583
        size -0.0197 -0.0254  0.0317  0.0113 0.0137 -0.0345     -0.0345      -0.0038
    amihud20  0.0022  0.0010  0.0379  0.0500 0.0425 -0.0144     -0.0144       0.0199
    maxret20  0.0517  0.0281  0.0565  0.0570 0.0637  0.0742      0.0281       0.0552
intra_over20  0.0508  0.0105  0.0230  0.0258 0.0201  0.0166      0.0105       0.0245
    combo_z4  0.0523  0.0223  0.0638  0.0656 0.0592  0.0406      0.0223       0.0506

===== ALL A-share tradeable =====
      factor  n_stocks_med   P2019   P2020   P2021   P2022   P2023   P2024  P_min19_24
       rev20          3644  0.0554  0.0082  0.0132  0.0492  0.0454  0.0633      0.0082
      mom_f1          3531  0.0032  0.0180 -0.0198 -0.0278 -0.0041 -0.0278     -0.0278
       vol20          3644  0.0331  0.0232  0.0286  0.0392  0.0367  0.0392      0.0232
      turn20          3645  0.0418  0.0304  0.0347  0.0521  0.0297  0.0390      0.0297
        size          3660  0.0075 -0.0071  0.0243  0.0179  0.0426  0.0018     -0.0071
    amihud20          3644 -0.0004 -0.0029  0.0276  0.0224  0.0503  0.0097     -0.0029
    maxret20          3644  0.0360  0.0179  0.0210  0.0354  0.0348  0.0420      0.0179
intra_over20          3644  0.0411  0.0087  0.0254  0.0431  0.0400  0.0438      0.0087
    combo_z4          3644  0.0530  0.0180  0.0424  0.0663  0.0651  0.0596      0.0180
      factor   R2019   R2020   R2021   R2022  R2023   R2024  R_min19_24  R_mean19_24
       rev20  0.0826  0.0263  0.0300  0.0503 0.0490  0.0677      0.0263       0.0510
      mom_f1  0.0002  0.0147 -0.0318 -0.0367 0.0008 -0.0294     -0.0367      -0.0137
       vol20  0.0674  0.0658  0.0844  0.0841 0.0844  0.0745      0.0658       0.0768
      turn20  0.0597  0.0647  0.0708  0.0841 0.0604  0.0652      0.0597       0.0675
        size -0.0055 -0.0190  0.0236  0.0104 0.0497  0.0001     -0.0190       0.0099
    amihud20  0.0155  0.0111  0.0536  0.0479 0.0778  0.0185      0.0111       0.0374
    maxret20  0.0754  0.0591  0.0766  0.0819 0.0787  0.0755      0.0591       0.0745
intra_over20  0.0616  0.0239  0.0412  0.0553 0.0558  0.0560      0.0239       0.0490
    combo_z4  0.0880  0.0554  0.0946  0.0986 0.1097  0.0809      0.0554       0.0879
done 117.96320056915283
